# t	<x>	<p>	C(t)
6.800000000000001	5.785309534955101	(-0.08433612431940306+0.9749468172419822j)	0.506778408658709
7.0	6.0138015636295865	(0.6492647414329663-1.58492971933566j)	0.5067784086587092
7.2	5.799109331038769	(-0.04057254039398601-0.19394449453025434j)	0.5067784086587092
7.4	6.064467928235557	(0.23873453325427668-0.3485446756203291j)	0.5067784086587093
7.6000000000000005	6.146381847638064	(-1.0371540115163869-0.6054182827732327j)	0.5067784086587095
7.800000000000001	5.922737673964834	(-0.7359404278256108+1.0394536175571272j)	0.5067784086587096
8.0	5.940193475891499	(-0.45607681230572844-1.1172968982404377j)	0.5067784086587099
8.200000000000001	5.97979847250596	(-0.9005955916612319-0.6201775323077421j)	0.5067784086587099
8.4	6.247752205753812	(-0.880146076804698+0.13662844850638445j)	0.5067784086587102
8.6	5.9314705766515035	(0.2687702371585965-0.17519579272806488j)	0.5067784086587102
8.8	6.485150275943295	(-0.1387229044120548+1.6754013158607832j)	0.5067784086587103
9.0	6.0695721821072794	(0.6065285087548913+0.4095923757263059j)	0.5067784086587104
9.200000000000001	6.041937773433182	(0.031028879618178365+0.4476457516297856j)	0.5067784086587106
9.4	5.879642646033772	(0.795244939945103-0.09515819629742844j)	0.5067784086587107
9.600000000000001	5.956230688594988	(0.660438963475284+0.6789484197766809j)	0.5067784086587109
9.8	6.152193388030577	(-0.36404517424064153-0.41494309716428923j)	0.5067784086587109
10.0	5.6756852448142645	(-1.5690780013107066+0.28320444445272125j)	0.506778408658711
10.200000000000001	5.934081360808127	(1.6370199108400703-0.765806701022513j)	0.5067784086587112
10.4	6.221912951205124	(0.7142589344594258+0.2108698859558632j)	0.5067784086587114
10.600000000000001	6.1919958346518005	(0.29750712796967643+0.3248842762861328j)	0.5067784086587115
10.8	6.186773465255279	(-1.2688874757147288+1.3258778329869731j)	0.5067784086587116
11.0	6.2964454513455115	(-1.3206960634572131+0.22550902762748878j)	0.5067784086587118
11.200000000000001	6.038431572181939	(0.6886300639957275-0.7070610136787633j)	0.5067784086587119
11.4	6.258959617579398	(0.8198456697956468+0.8940225634362037j)	0.506778408658712
11.600000000000001	6.344251696920463	(1.410868339913839-0.31068340002910033j)	0.5067784086587122
11.8	6.418892932783031	(-0.16883554800696576-0.10819173187696378j)	0.5067784086587123
12.0	6.381247844324574	(-0.4413500225207415-0.1844963335837388j)	0.5067784086587125
12.200000000000001	6.352297800731768	(-0.0730276598620426+0.38046505148217685j)	0.5067784086587126
12.4	6.252593687342657	(-0.4622745987948791+0.6604821466602867j)	0.5067784086587127
12.600000000000001	6.375493289232367	(-0.28075003915304475+0.0544053558859529j)	0.5067784086587128
12.8	6.535064000262825	(0.428647507194898+0.3965721548042029j)	0.5067784086587129
13.0	6.549659550825149	(-0.21859954496660636+0.4060595962670656j)	0.506778408658713
13.200000000000001	6.237427971621878	(-0.5697331739315614-2.1308237291401055j)	0.5067784086587132
13.4	6.453330407964925	(0.53521944800645+0.056456520825791306j)	0.5067784086587135
13.600000000000001	6.308661207970309	(-0.5654565065232197+0.396340450512698j)	0.5067784086587135
13.8	6.372516624839035	(-0.09349101512314158+0.1652510460043997j)	0.5067784086587137
14.0	6.518556507722772	(2.0356481786399447+0.8299021448404303j)	0.5067784086587138
14.200000000000001	6.574114535288339	(-0.15073325481790817-0.021468654326741127j)	0.506778408658714
